WorkerId	DiscourseId	Input.Expression.Lit	Input.Expression.Met	Expression.Lit	Expression.Met	Original.Expression	Expression.MetLit
w4	d451	attracting the experienced workers	sucking the experienced workers	attract worker	suck worker	met	lit
w33	d451	attracting the experienced workers	sucking the experienced workers	attract worker	suck worker	met	met
w5	d451	attracting the experienced workers	sucking the experienced workers	attract worker	suck worker	met	lit
w61	d451	attracting the experienced workers	sucking the experienced workers	attract worker	suck worker	met	lit
w28	d451	attracting the experienced workers	sucking the experienced workers	attract worker	suck worker	met	met
w32	d451	attracting the experienced workers	sucking the experienced workers	attract worker	suck worker	met	lit
w30	d451	attracting the experienced workers	sucking the experienced workers	attract worker	suck worker	met	lit
w11	d451	attracting the experienced workers	sucking the experienced workers	attract worker	suck worker	met	met
w7	d451	attracting the experienced workers	sucking the experienced workers	attract worker	suck worker	met	lit
w60	d469	distinctions between channels disappear	distinctions between channels blur	distinction disappear	distinction blur	met	met
w5	d469	distinctions between channels disappear	distinctions between channels blur	distinction disappear	distinction blur	met	lit
w14	d469	distinctions between channels disappear	distinctions between channels blur	distinction disappear	distinction blur	met	met
w29	d469	distinctions between channels disappear	distinctions between channels blur	distinction disappear	distinction blur	met	met
w13	d469	distinctions between channels disappear	distinctions between channels blur	distinction disappear	distinction blur	met	met
w30	d469	distinctions between channels disappear	distinctions between channels blur	distinction disappear	distinction blur	met	lit
w28	d469	distinctions between channels disappear	distinctions between channels blur	distinction disappear	distinction blur	met	lit
w61	d469	distinctions between channels disappear	distinctions between channels blur	distinction disappear	distinction blur	met	met
w33	d469	distinctions between channels disappear	distinctions between channels blur	distinction disappear	distinction blur	met	lit
w31	d469	distinctions between channels disappear	distinctions between channels blur	distinction disappear	distinction blur	met	lit
w55	d469	distinctions between channels disappear	distinctions between channels blur	distinction disappear	distinction blur	met	lit
w7	d469	distinctions between channels disappear	distinctions between channels blur	distinction disappear	distinction blur	met	lit
w62	d469	distinctions between channels disappear	distinctions between channels blur	distinction disappear	distinction blur	met	met
w11	d469	distinctions between channels disappear	distinctions between channels blur	distinction disappear	distinction blur	met	lit
w32	d469	distinctions between channels disappear	distinctions between channels blur	distinction disappear	distinction blur	met	lit
w33	d63	will read this book	will devour this book	read book	devour book	lit	met
w60	d63	will read this book	will devour this book	read book	devour book	lit	lit
w29	d63	will read this book	will devour this book	read book	devour book	lit	met
w32	d63	will read this book	will devour this book	read book	devour book	lit	lit
w7	d63	will read this book	will devour this book	read book	devour book	lit	lit
w14	d63	will read this book	will devour this book	read book	devour book	lit	lit
w5	d63	will read this book	will devour this book	read book	devour book	lit	met
w55	d63	will read this book	will devour this book	read book	devour book	lit	lit
w13	d63	will read this book	will devour this book	read book	devour book	lit	met
w4	d63	will read this book	will devour this book	read book	devour book	lit	met
w11	d63	will read this book	will devour this book	read book	devour book	lit	lit
w28	d63	will read this book	will devour this book	read book	devour book	lit	lit
w30	d63	will read this book	will devour this book	read book	devour book	lit	met
w31	d63	will read this book	will devour this book	read book	devour book	lit	met
w61	d63	will read this book	will devour this book	read book	devour book	lit	lit
w29	d94	fire also destroyed	fire also devoured	fire destroy	fire devour	met	met
w13	d94	fire also destroyed	fire also devoured	fire destroy	fire devour	met	met
w31	d94	fire also destroyed	fire also devoured	fire destroy	fire devour	met	met
w11	d94	fire also destroyed	fire also devoured	fire destroy	fire devour	met	met
w5	d94	fire also destroyed	fire also devoured	fire destroy	fire devour	met	lit
w14	d94	fire also destroyed	fire also devoured	fire destroy	fire devour	met	lit
w7	d94	fire also destroyed	fire also devoured	fire destroy	fire devour	met	met
w32	d94	fire also destroyed	fire also devoured	fire destroy	fire devour	met	lit
w60	d94	fire also destroyed	fire also devoured	fire destroy	fire devour	met	lit
w30	d94	fire also destroyed	fire also devoured	fire destroy	fire devour	met	lit
w61	d94	fire also destroyed	fire also devoured	fire destroy	fire devour	met	met
w33	d94	fire also destroyed	fire also devoured	fire destroy	fire devour	met	lit
w28	d94	fire also destroyed	fire also devoured	fire destroy	fire devour	met	lit
w55	d94	fire also destroyed	fire also devoured	fire destroy	fire devour	met	met
w4	d94	fire also destroyed	fire also devoured	fire destroy	fire devour	met	lit
w11	d114	saturate the market	flood the market	saturate market	flood market	lit	met
w5	d114	saturate the market	flood the market	saturate market	flood market	lit	lit
w33	d114	saturate the market	flood the market	saturate market	flood market	lit	met
w61	d114	saturate the market	flood the market	saturate market	flood market	lit	lit
w31	d114	saturate the market	flood the market	saturate market	flood market	lit	met
w30	d114	saturate the market	flood the market	saturate market	flood market	lit	met
w20	d114	saturate the market	flood the market	saturate market	flood market	lit	lit
w60	d114	saturate the market	flood the market	saturate market	flood market	lit	met
w7	d114	saturate the market	flood the market	saturate market	flood market	lit	lit
w28	d114	saturate the market	flood the market	saturate market	flood market	lit	lit
w62	d114	saturate the market	flood the market	saturate market	flood market	lit	lit
w32	d114	saturate the market	flood the market	saturate market	flood market	lit	met
w29	d114	saturate the market	flood the market	saturate market	flood market	lit	met
w14	d114	saturate the market	flood the market	saturate market	flood market	lit	met
w13	d114	saturate the market	flood the market	saturate market	flood market	lit	met
w29	d565	end a fixed term agreement	break a fixed term agreement	end agreement	break agreement	lit	met
w13	d565	end a fixed term agreement	break a fixed term agreement	end agreement	break agreement	lit	met
w33	d565	end a fixed term agreement	break a fixed term agreement	end agreement	break agreement	lit	met
w60	d565	end a fixed term agreement	break a fixed term agreement	end agreement	break agreement	lit	lit
w14	d565	end a fixed term agreement	break a fixed term agreement	end agreement	break agreement	lit	lit
w31	d565	end a fixed term agreement	break a fixed term agreement	end agreement	break agreement	lit	met
w30	d565	end a fixed term agreement	break a fixed term agreement	end agreement	break agreement	lit	lit
w11	d565	end a fixed term agreement	break a fixed term agreement	end agreement	break agreement	lit	lit
w55	d565	end a fixed term agreement	break a fixed term agreement	end agreement	break agreement	lit	met
w28	d565	end a fixed term agreement	break a fixed term agreement	end agreement	break agreement	lit	met
w32	d565	end a fixed term agreement	break a fixed term agreement	end agreement	break agreement	lit	met
w7	d565	end a fixed term agreement	break a fixed term agreement	end agreement	break agreement	lit	lit
w5	d565	end a fixed term agreement	break a fixed term agreement	end agreement	break agreement	lit	met
w61	d565	end a fixed term agreement	break a fixed term agreement	end agreement	break agreement	lit	lit
w58	d565	end a fixed term agreement	break a fixed term agreement	end agreement	break agreement	lit	lit
w13	d895	sell him drugs	push him drugs	sell drug	push drug	met	met
w7	d895	sell him drugs	push him drugs	sell drug	push drug	met	lit
w14	d895	sell him drugs	push him drugs	sell drug	push drug	met	lit
w29	d895	sell him drugs	push him drugs	sell drug	push drug	met	met
w11	d895	sell him drugs	push him drugs	sell drug	push drug	met	met
w5	d895	sell him drugs	push him drugs	sell drug	push drug	met	lit
w60	d895	sell him drugs	push him drugs	sell drug	push drug	met	lit
w61	d895	sell him drugs	push him drugs	sell drug	push drug	met	lit
w32	d895	sell him drugs	push him drugs	sell drug	push drug	met	lit
w28	d895	sell him drugs	push him drugs	sell drug	push drug	met	lit
w31	d895	sell him drugs	push him drugs	sell drug	push drug	met	met
w30	d895	sell him drugs	push him drugs	sell drug	push drug	met	lit
w4	d895	sell him drugs	push him drugs	sell drug	push drug	met	lit
w55	d895	sell him drugs	push him drugs	sell drug	push drug	met	met
w33	d895	sell him drugs	push him drugs	sell drug	push drug	met	met
w55	d67	determine the results	shape the results	determine result	shape result	met	lit
w31	d67	determine the results	shape the results	determine result	shape result	met	met
w29	d67	determine the results	shape the results	determine result	shape result	met	met
w5	d67	determine the results	shape the results	determine result	shape result	met	met
w61	d67	determine the results	shape the results	determine result	shape result	met	lit
w11	d67	determine the results	shape the results	determine result	shape result	met	met
w30	d67	determine the results	shape the results	determine result	shape result	met	lit
w7	d67	determine the results	shape the results	determine result	shape result	met	lit
w60	d67	determine the results	shape the results	determine result	shape result	met	lit
w13	d67	determine the results	shape the results	determine result	shape result	met	met
w32	d67	determine the results	shape the results	determine result	shape result	met	lit
w4	d67	determine the results	shape the results	determine result	shape result	met	met
w28	d67	determine the results	shape the results	determine result	shape result	met	lit
w14	d67	determine the results	shape the results	determine result	shape result	met	met
w33	d67	determine the results	shape the results	determine result	shape result	met	lit
w14	d627	drink alcohol	abuse alcohol	drink alcohol	abuse alcohol	lit	lit
w11	d627	drink alcohol	abuse alcohol	drink alcohol	abuse alcohol	lit	met
w31	d627	drink alcohol	abuse alcohol	drink alcohol	abuse alcohol	lit	met
w7	d627	drink alcohol	abuse alcohol	drink alcohol	abuse alcohol	lit	lit
w33	d627	drink alcohol	abuse alcohol	drink alcohol	abuse alcohol	lit	met
w4	d627	drink alcohol	abuse alcohol	drink alcohol	abuse alcohol	lit	met
w60	d627	drink alcohol	abuse alcohol	drink alcohol	abuse alcohol	lit	lit
w61	d627	drink alcohol	abuse alcohol	drink alcohol	abuse alcohol	lit	lit
w32	d627	drink alcohol	abuse alcohol	drink alcohol	abuse alcohol	lit	met
w63	d627	drink alcohol	abuse alcohol	drink alcohol	abuse alcohol	lit	lit
w13	d627	drink alcohol	abuse alcohol	drink alcohol	abuse alcohol	lit	met
w28	d627	drink alcohol	abuse alcohol	drink alcohol	abuse alcohol	lit	met
w30	d627	drink alcohol	abuse alcohol	drink alcohol	abuse alcohol	lit	met
w5	d627	drink alcohol	abuse alcohol	drink alcohol	abuse alcohol	lit	met
w29	d627	drink alcohol	abuse alcohol	drink alcohol	abuse alcohol	lit	met
w5	d206	caused doubt	cast doubt	cause doubt	cast doubt	lit	lit
w14	d206	caused doubt	cast doubt	cause doubt	cast doubt	lit	lit
w29	d206	caused doubt	cast doubt	cause doubt	cast doubt	lit	met
w61	d206	caused doubt	cast doubt	cause doubt	cast doubt	lit	lit
w60	d206	caused doubt	cast doubt	cause doubt	cast doubt	lit	met
w55	d206	caused doubt	cast doubt	cause doubt	cast doubt	lit	lit
w4	d206	caused doubt	cast doubt	cause doubt	cast doubt	lit	lit
w7	d206	caused doubt	cast doubt	cause doubt	cast doubt	lit	met
w31	d206	caused doubt	cast doubt	cause doubt	cast doubt	lit	met
w30	d206	caused doubt	cast doubt	cause doubt	cast doubt	lit	met
w13	d206	caused doubt	cast doubt	cause doubt	cast doubt	lit	met
w11	d206	caused doubt	cast doubt	cause doubt	cast doubt	lit	met
w28	d206	caused doubt	cast doubt	cause doubt	cast doubt	lit	lit
w33	d206	caused doubt	cast doubt	cause doubt	cast doubt	lit	met
w32	d206	caused doubt	cast doubt	cause doubt	cast doubt	lit	met
w7	d376	views above represent	views above reflect	view represent	view reflect	lit	met
w14	d376	views above represent	views above reflect	view represent	view reflect	lit	lit
w31	d376	views above represent	views above reflect	view represent	view reflect	lit	met
w32	d376	views above represent	views above reflect	view represent	view reflect	lit	lit
w30	d376	views above represent	views above reflect	view represent	view reflect	lit	met
w55	d376	views above represent	views above reflect	view represent	view reflect	lit	met
w13	d376	views above represent	views above reflect	view represent	view reflect	lit	met
w4	d376	views above represent	views above reflect	view represent	view reflect	lit	lit
w28	d376	views above represent	views above reflect	view represent	view reflect	lit	lit
w5	d376	views above represent	views above reflect	view represent	view reflect	lit	met
w29	d376	views above represent	views above reflect	view represent	view reflect	lit	met
w60	d376	views above represent	views above reflect	view represent	view reflect	lit	met
w33	d376	views above represent	views above reflect	view represent	view reflect	lit	met
w61	d376	views above represent	views above reflect	view represent	view reflect	lit	met
w11	d376	views above represent	views above reflect	view represent	view reflect	lit	lit
w11	d331	example shows	example illustrates	example show	example illustrate	lit	lit
w56	d331	example shows	example illustrates	example show	example illustrate	lit	lit
w29	d331	example shows	example illustrates	example show	example illustrate	lit	met
w14	d331	example shows	example illustrates	example show	example illustrate	lit	lit
w28	d331	example shows	example illustrates	example show	example illustrate	lit	met
w33	d331	example shows	example illustrates	example show	example illustrate	lit	met
w13	d331	example shows	example illustrates	example show	example illustrate	lit	met
w31	d331	example shows	example illustrates	example show	example illustrate	lit	met
w61	d331	example shows	example illustrates	example show	example illustrate	lit	met
w5	d331	example shows	example illustrates	example show	example illustrate	lit	met
w7	d331	example shows	example illustrates	example show	example illustrate	lit	met
w60	d331	example shows	example illustrates	example show	example illustrate	lit	met
w30	d331	example shows	example illustrates	example show	example illustrate	lit	lit
w4	d331	example shows	example illustrates	example show	example illustrate	lit	lit
w32	d331	example shows	example illustrates	example show	example illustrate	lit	met
w14	d429	could forget their troubles	could drown their troubles	forget trouble	drown trouble	met	met
w32	d429	could forget their troubles	could drown their troubles	forget trouble	drown trouble	met	met
w4	d429	could forget their troubles	could drown their troubles	forget trouble	drown trouble	met	met
w5	d429	could forget their troubles	could drown their troubles	forget trouble	drown trouble	met	lit
w61	d429	could forget their troubles	could drown their troubles	forget trouble	drown trouble	met	met
w11	d429	could forget their troubles	could drown their troubles	forget trouble	drown trouble	met	lit
w64	d429	could forget their troubles	could drown their troubles	forget trouble	drown trouble	met	met
w13	d429	could forget their troubles	could drown their troubles	forget trouble	drown trouble	met	met
w29	d429	could forget their troubles	could drown their troubles	forget trouble	drown trouble	met	met
w33	d429	could forget their troubles	could drown their troubles	forget trouble	drown trouble	met	met
w60	d429	could forget their troubles	could drown their troubles	forget trouble	drown trouble	met	lit
w1	d429	could forget their troubles	could drown their troubles	forget trouble	drown trouble	met	met
w7	d429	could forget their troubles	could drown their troubles	forget trouble	drown trouble	met	met
w30	d429	could forget their troubles	could drown their troubles	forget trouble	drown trouble	met	lit
w31	d429	could forget their troubles	could drown their troubles	forget trouble	drown trouble	met	met
w61	d484	instill new life	breathe new life	instill life	breathe life	lit	lit
w32	d484	instill new life	breathe new life	instill life	breathe life	lit	met
w55	d484	instill new life	breathe new life	instill life	breathe life	lit	met
w29	d484	instill new life	breathe new life	instill life	breathe life	lit	met
w11	d484	instill new life	breathe new life	instill life	breathe life	lit	lit
w31	d484	instill new life	breathe new life	instill life	breathe life	lit	met
w60	d484	instill new life	breathe new life	instill life	breathe life	lit	met
w7	d484	instill new life	breathe new life	instill life	breathe life	lit	met
w5	d484	instill new life	breathe new life	instill life	breathe life	lit	met
w4	d484	instill new life	breathe new life	instill life	breathe life	lit	lit
w28	d484	instill new life	breathe new life	instill life	breathe life	lit	met
w13	d484	instill new life	breathe new life	instill life	breathe life	lit	met
w33	d484	instill new life	breathe new life	instill life	breathe life	lit	met
w30	d484	instill new life	breathe new life	instill life	breathe life	lit	met
w14	d484	instill new life	breathe new life	instill life	breathe life	lit	lit
w5	d234	results appeared	results emerged	result appear	result emerge	met	lit
w33	d234	results appeared	results emerged	result appear	result emerge	met	lit
w55	d234	results appeared	results emerged	result appear	result emerge	met	met
w60	d234	results appeared	results emerged	result appear	result emerge	met	met
w11	d234	results appeared	results emerged	result appear	result emerge	met	met
w61	d234	results appeared	results emerged	result appear	result emerge	met	met
w13	d234	results appeared	results emerged	result appear	result emerge	met	met
w32	d234	results appeared	results emerged	result appear	result emerge	met	lit
w28	d234	results appeared	results emerged	result appear	result emerge	met	met
w30	d234	results appeared	results emerged	result appear	result emerge	met	met
w7	d234	results appeared	results emerged	result appear	result emerge	met	met
w14	d234	results appeared	results emerged	result appear	result emerge	met	met
w31	d234	results appeared	results emerged	result appear	result emerge	met	met
w29	d234	results appeared	results emerged	result appear	result emerge	met	met
w4	d234	results appeared	results emerged	result appear	result emerge	met	lit
w29	d2	story intrigued	story grabbed	story intrigue	story grab	met	met
w61	d2	story intrigued	story grabbed	story intrigue	story grab	met	lit
w55	d2	story intrigued	story grabbed	story intrigue	story grab	met	met
w5	d2	story intrigued	story grabbed	story intrigue	story grab	met	lit
w33	d2	story intrigued	story grabbed	story intrigue	story grab	met	met
w60	d2	story intrigued	story grabbed	story intrigue	story grab	met	lit
w4	d2	story intrigued	story grabbed	story intrigue	story grab	met	met
w30	d2	story intrigued	story grabbed	story intrigue	story grab	met	met
w7	d2	story intrigued	story grabbed	story intrigue	story grab	met	lit
w11	d2	story intrigued	story grabbed	story intrigue	story grab	met	lit
w13	d2	story intrigued	story grabbed	story intrigue	story grab	met	met
w31	d2	story intrigued	story grabbed	story intrigue	story grab	met	met
w14	d2	story intrigued	story grabbed	story intrigue	story grab	met	lit
w28	d2	story intrigued	story grabbed	story intrigue	story grab	met	met
w32	d2	story intrigued	story grabbed	story intrigue	story grab	met	lit
w7	d521	forget my troubles	drown my troubles	forget trouble	drown trouble	met	lit
w13	d521	forget my troubles	drown my troubles	forget trouble	drown trouble	met	met
w30	d521	forget my troubles	drown my troubles	forget trouble	drown trouble	met	lit
w60	d521	forget my troubles	drown my troubles	forget trouble	drown trouble	met	met
w28	d521	forget my troubles	drown my troubles	forget trouble	drown trouble	met	met
w4	d521	forget my troubles	drown my troubles	forget trouble	drown trouble	met	met
w31	d521	forget my troubles	drown my troubles	forget trouble	drown trouble	met	met
w11	d521	forget my troubles	drown my troubles	forget trouble	drown trouble	met	met
w61	d521	forget my troubles	drown my troubles	forget trouble	drown trouble	met	lit
w14	d521	forget my troubles	drown my troubles	forget trouble	drown trouble	met	met
w29	d521	forget my troubles	drown my troubles	forget trouble	drown trouble	met	met
w55	d521	forget my troubles	drown my troubles	forget trouble	drown trouble	met	lit
w33	d521	forget my troubles	drown my troubles	forget trouble	drown trouble	met	lit
w5	d521	forget my troubles	drown my troubles	forget trouble	drown trouble	met	met
w32	d521	forget my troubles	drown my troubles	forget trouble	drown trouble	met	met
w33	d96	determine the results	shape the results	determine result	shape result	met	met
w31	d96	determine the results	shape the results	determine result	shape result	met	lit
w55	d96	determine the results	shape the results	determine result	shape result	met	lit
w56	d96	determine the results	shape the results	determine result	shape result	met	lit
w7	d96	determine the results	shape the results	determine result	shape result	met	lit
w32	d96	determine the results	shape the results	determine result	shape result	met	lit
w61	d96	determine the results	shape the results	determine result	shape result	met	lit
w13	d96	determine the results	shape the results	determine result	shape result	met	met
w29	d96	determine the results	shape the results	determine result	shape result	met	met
w28	d96	determine the results	shape the results	determine result	shape result	met	lit
w30	d96	determine the results	shape the results	determine result	shape result	met	met
w5	d96	determine the results	shape the results	determine result	shape result	met	lit
w14	d96	determine the results	shape the results	determine result	shape result	met	lit
w60	d96	determine the results	shape the results	determine result	shape result	met	lit
w11	d96	determine the results	shape the results	determine result	shape result	met	lit
w28	d190	fate that was	fate that lay	fate be	fate lie	met	lit
w7	d190	fate that was	fate that lay	fate be	fate lie	met	lit
w30	d190	fate that was	fate that lay	fate be	fate lie	met	lit
w4	d190	fate that was	fate that lay	fate be	fate lie	met	met
w14	d190	fate that was	fate that lay	fate be	fate lie	met	met
w13	d190	fate that was	fate that lay	fate be	fate lie	met	met
w29	d190	fate that was	fate that lay	fate be	fate lie	met	met
w55	d190	fate that was	fate that lay	fate be	fate lie	met	lit
w31	d190	fate that was	fate that lay	fate be	fate lie	met	met
w32	d190	fate that was	fate that lay	fate be	fate lie	met	met
w61	d190	fate that was	fate that lay	fate be	fate lie	met	met
w60	d190	fate that was	fate that lay	fate be	fate lie	met	lit
w33	d190	fate that was	fate that lay	fate be	fate lie	met	met
w11	d190	fate that was	fate that lay	fate be	fate lie	met	lit
w5	d190	fate that was	fate that lay	fate be	fate lie	met	met
w28	d460	pose the vital question	frame the vital question	pose question	frame question	met	lit
w14	d460	pose the vital question	frame the vital question	pose question	frame question	met	met
w33	d460	pose the vital question	frame the vital question	pose question	frame question	met	lit
w50	d460	pose the vital question	frame the vital question	pose question	frame question	met	lit
w13	d460	pose the vital question	frame the vital question	pose question	frame question	met	met
w11	d460	pose the vital question	frame the vital question	pose question	frame question	met	lit
w4	d460	pose the vital question	frame the vital question	pose question	frame question	met	met
w5	d460	pose the vital question	frame the vital question	pose question	frame question	met	lit
w29	d460	pose the vital question	frame the vital question	pose question	frame question	met	lit
w32	d460	pose the vital question	frame the vital question	pose question	frame question	met	lit
w65	d460	pose the vital question	frame the vital question	pose question	frame question	met	lit
w30	d460	pose the vital question	frame the vital question	pose question	frame question	met	met
w31	d460	pose the vital question	frame the vital question	pose question	frame question	met	lit
w66	d460	pose the vital question	frame the vital question	pose question	frame question	met	met
w7	d460	pose the vital question	frame the vital question	pose question	frame question	met	met
w50	d853	improve the economy	boost the economy	improve economy	boost economy	met	lit
w13	d853	improve the economy	boost the economy	improve economy	boost economy	met	met
w32	d853	improve the economy	boost the economy	improve economy	boost economy	met	lit
w7	d853	improve the economy	boost the economy	improve economy	boost economy	met	met
w65	d853	improve the economy	boost the economy	improve economy	boost economy	met	met
w33	d853	improve the economy	boost the economy	improve economy	boost economy	met	lit
w11	d853	improve the economy	boost the economy	improve economy	boost economy	met	met
w14	d853	improve the economy	boost the economy	improve economy	boost economy	met	met
w28	d853	improve the economy	boost the economy	improve economy	boost economy	met	met
w30	d853	improve the economy	boost the economy	improve economy	boost economy	met	met
w29	d853	improve the economy	boost the economy	improve economy	boost economy	met	lit
w5	d853	improve the economy	boost the economy	improve economy	boost economy	met	lit
w4	d853	improve the economy	boost the economy	improve economy	boost economy	met	lit
w66	d853	improve the economy	boost the economy	improve economy	boost economy	met	met
w31	d853	improve the economy	boost the economy	improve economy	boost economy	met	lit
w50	d384	believe the story	buy the story	believe story	buy story	lit	met
w33	d384	believe the story	buy the story	believe story	buy story	lit	lit
w32	d384	believe the story	buy the story	believe story	buy story	lit	met
w13	d384	believe the story	buy the story	believe story	buy story	lit	met
w28	d384	believe the story	buy the story	believe story	buy story	lit	lit
w65	d384	believe the story	buy the story	believe story	buy story	lit	lit
w14	d384	believe the story	buy the story	believe story	buy story	lit	met
w66	d384	believe the story	buy the story	believe story	buy story	lit	lit
w31	d384	believe the story	buy the story	believe story	buy story	lit	met
w29	d384	believe the story	buy the story	believe story	buy story	lit	lit
w11	d384	believe the story	buy the story	believe story	buy story	lit	lit
w30	d384	believe the story	buy the story	believe story	buy story	lit	met
w4	d384	believe the story	buy the story	believe story	buy story	lit	lit
w5	d384	believe the story	buy the story	believe story	buy story	lit	met
w7	d384	believe the story	buy the story	believe story	buy story	lit	lit
w5	d140	result appearing	result emerging	result appear	result emerge	lit	met
w29	d140	result appearing	result emerging	result appear	result emerge	lit	lit
w30	d140	result appearing	result emerging	result appear	result emerge	lit	lit
w7	d140	result appearing	result emerging	result appear	result emerge	lit	met
w66	d140	result appearing	result emerging	result appear	result emerge	lit	lit
w32	d140	result appearing	result emerging	result appear	result emerge	lit	lit
w28	d140	result appearing	result emerging	result appear	result emerge	lit	lit
w11	d140	result appearing	result emerging	result appear	result emerge	lit	met
w13	d140	result appearing	result emerging	result appear	result emerge	lit	met
w33	d140	result appearing	result emerging	result appear	result emerge	lit	lit
w4	d140	result appearing	result emerging	result appear	result emerge	lit	met
w14	d140	result appearing	result emerging	result appear	result emerge	lit	lit
w65	d140	result appearing	result emerging	result appear	result emerge	lit	met
w50	d140	result appearing	result emerging	result appear	result emerge	lit	lit
w31	d140	result appearing	result emerging	result appear	result emerge	lit	lit
w11	d919	forget their troubles	drown their troubles	forget trouble	drown trouble	lit	met
w7	d919	forget their troubles	drown their troubles	forget trouble	drown trouble	lit	met
w13	d919	forget their troubles	drown their troubles	forget trouble	drown trouble	lit	met
w50	d919	forget their troubles	drown their troubles	forget trouble	drown trouble	lit	lit
w29	d919	forget their troubles	drown their troubles	forget trouble	drown trouble	lit	lit
w28	d919	forget their troubles	drown their troubles	forget trouble	drown trouble	lit	lit
w66	d919	forget their troubles	drown their troubles	forget trouble	drown trouble	lit	lit
w30	d919	forget their troubles	drown their troubles	forget trouble	drown trouble	lit	lit
w65	d919	forget their troubles	drown their troubles	forget trouble	drown trouble	lit	lit
w1	d919	forget their troubles	drown their troubles	forget trouble	drown trouble	lit	met
w31	d919	forget their troubles	drown their troubles	forget trouble	drown trouble	lit	lit
w5	d919	forget their troubles	drown their troubles	forget trouble	drown trouble	lit	met
w14	d919	forget their troubles	drown their troubles	forget trouble	drown trouble	lit	lit
w33	d919	forget their troubles	drown their troubles	forget trouble	drown trouble	lit	lit
w4	d919	forget their troubles	drown their troubles	forget trouble	drown trouble	lit	lit
w29	d259	have never experienced freedom	have never tasted freedom	experience freedom	taste freedom	met	met
w30	d259	have never experienced freedom	have never tasted freedom	experience freedom	taste freedom	met	lit
w33	d259	have never experienced freedom	have never tasted freedom	experience freedom	taste freedom	met	met
w11	d259	have never experienced freedom	have never tasted freedom	experience freedom	taste freedom	met	lit
w32	d259	have never experienced freedom	have never tasted freedom	experience freedom	taste freedom	met	lit
w31	d259	have never experienced freedom	have never tasted freedom	experience freedom	taste freedom	met	lit
w14	d259	have never experienced freedom	have never tasted freedom	experience freedom	taste freedom	met	met
w13	d259	have never experienced freedom	have never tasted freedom	experience freedom	taste freedom	met	met
w62	d259	have never experienced freedom	have never tasted freedom	experience freedom	taste freedom	met	lit
w66	d259	have never experienced freedom	have never tasted freedom	experience freedom	taste freedom	met	met
w7	d259	have never experienced freedom	have never tasted freedom	experience freedom	taste freedom	met	met
w65	d259	have never experienced freedom	have never tasted freedom	experience freedom	taste freedom	met	met
w4	d259	have never experienced freedom	have never tasted freedom	experience freedom	taste freedom	met	lit
w5	d259	have never experienced freedom	have never tasted freedom	experience freedom	taste freedom	met	lit
w28	d259	have never experienced freedom	have never tasted freedom	experience freedom	taste freedom	met	met
w65	d554	has invested his own money	has poured his own money	invest money	pour money	met	lit
w11	d554	has invested his own money	has poured his own money	invest money	pour money	met	lit
w5	d554	has invested his own money	has poured his own money	invest money	pour money	met	met
w33	d554	has invested his own money	has poured his own money	invest money	pour money	met	lit
w66	d554	has invested his own money	has poured his own money	invest money	pour money	met	lit
w30	d554	has invested his own money	has poured his own money	invest money	pour money	met	met
w29	d554	has invested his own money	has poured his own money	invest money	pour money	met	lit
w50	d554	has invested his own money	has poured his own money	invest money	pour money	met	lit
w4	d554	has invested his own money	has poured his own money	invest money	pour money	met	met
w31	d554	has invested his own money	has poured his own money	invest money	pour money	met	met
w32	d554	has invested his own money	has poured his own money	invest money	pour money	met	lit
w13	d554	has invested his own money	has poured his own money	invest money	pour money	met	met
w14	d554	has invested his own money	has poured his own money	invest money	pour money	met	met
w7	d554	has invested his own money	has poured his own money	invest money	pour money	met	lit
w28	d554	has invested his own money	has poured his own money	invest money	pour money	met	met
w33	d959	believed the story	bought the story	believe story	buy story	met	lit
w11	d959	believed the story	bought the story	believe story	buy story	met	met
w65	d959	believed the story	bought the story	believe story	buy story	met	lit
w5	d959	believed the story	bought the story	believe story	buy story	met	lit
w4	d959	believed the story	bought the story	believe story	buy story	met	lit
w28	d959	believed the story	bought the story	believe story	buy story	met	met
w7	d959	believed the story	bought the story	believe story	buy story	met	met
w13	d959	believed the story	bought the story	believe story	buy story	met	met
w29	d959	believed the story	bought the story	believe story	buy story	met	lit
w14	d959	believed the story	bought the story	believe story	buy story	met	lit
w30	d959	believed the story	bought the story	believe story	buy story	met	met
w50	d959	believed the story	bought the story	believe story	buy story	met	lit
w31	d959	believed the story	bought the story	believe story	buy story	met	lit
w32	d959	believed the story	bought the story	believe story	buy story	met	met
w66	d959	believed the story	bought the story	believe story	buy story	met	lit
w65	d757	did have a smile	did wear a smile	have smile	wear smile	lit	lit
w31	d757	did have a smile	did wear a smile	have smile	wear smile	lit	lit
w28	d757	did have a smile	did wear a smile	have smile	wear smile	lit	lit
w50	d757	did have a smile	did wear a smile	have smile	wear smile	lit	lit
w5	d757	did have a smile	did wear a smile	have smile	wear smile	lit	met
w30	d757	did have a smile	did wear a smile	have smile	wear smile	lit	met
w33	d757	did have a smile	did wear a smile	have smile	wear smile	lit	lit
w29	d757	did have a smile	did wear a smile	have smile	wear smile	lit	lit
w13	d757	did have a smile	did wear a smile	have smile	wear smile	lit	met
w4	d757	did have a smile	did wear a smile	have smile	wear smile	lit	lit
w11	d757	did have a smile	did wear a smile	have smile	wear smile	lit	met
w14	d757	did have a smile	did wear a smile	have smile	wear smile	lit	met
w66	d757	did have a smile	did wear a smile	have smile	wear smile	lit	met
